Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
441,Jaeger,O'Meara,MID,,HAW,N/A,N/A,N/A,Fire The Worpedo,,,owner,1899,21,99,90.43,81,86.8,N/A,O'Meara was great with a couple of goals from his 24 touches and had the second best score for the Hawks. ,
252,Ed,Langdon,MID,,FRE,N/A,N/A,N/A,Swimming n Titch,,,owner,1889,22,111,85.86,110.67,98,N/A,N/A,
337,Tom,Hawkins,FWD,,GEE,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1884,22,35,85.64,59.67,83.6,N/A,N/A,
800,Jack,Redden,MID,,WCE,N/A,N/A,N/A,Swimming n Titch,,,owner,1877,21,69,89.38,70.33,84.2,N/A,N/A,
570,Dan,Houston,DEF,,PTA,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1875,21,117,89.29,103.33,105.8,N/A,N/A,
782,Jack,Darling,FWD,,WCE,N/A,N/A,N/A,Swimming n Titch,,,owner,1859,22,76,84.5,93.33,97.2,N/A,N/A,
372,Jeremy,Cameron,FWD,,GWS,N/A,N/A,N/A,Fire The Worpedo,,,owner,1856,20,152,92.8,91.67,98.6,N/A,N/A,
246,Bradley,Hill,MID,,FRE,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1853,22,76,84.23,73.67,80,N/A,N/A,
673,Shane,Savage,DEF,,STK,N/A,N/A,N/A,Man of Steele,,,owner,1851,22,90,84.14,88,85.8,N/A,N/A,
807,Brad,Sheppard,DEF,,WCE,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1846,22,69,83.91,65,69.2,N/A,N/A,
285,Brayden,Fiorini,MID,,GCS,N/A,N/A,N/A,Casting Crouch,,,owner,1845,21,80,87.86,87.67,78.2,N/A,Fiorini is showing the form we all suspected he had and he got there on the back of 30 touches and 6 tackles this gave him the best score for the Suns.,
793,Jeremy,McGovern,DEF,,WCE,N/A,N/A,N/A,Barbeques Treloar,,,owner,1838,21,70,87.52,86,88.6,N/A,N/A,
