,Round,Game Number,ID,Team Name,Coach,Final,Points,Rank,Opponent ID,Opponent Team Name,Opponent Coach,Opponent Final,Opponent Points,Opponent Rank
62,16,3,397,Man of Steele,Luke,18,1582,5,7061,DEVQON.1,Lester,17,1521,7
61,16,2,8740,Barbeques Treloar,Simon,18,1525,6,831,Salt&VinegarCripps,Anthony,18,1787,2
62,16,3,7061,DEVQON.1,Lester,17,1521,7,397,Man of Steele,Luke,18,1582,5
63,16,4,11070,Fire The Worpedo,James,17,1370,8,25252,Casting Crouch,Jordan,18,1610,4
67,17,4,11070,Fire The Worpedo,James,18,1791,1,7061,DEVQON.1,Lester,18,1625,5
64,17,1,344,TryingAnewStratton,Paul,18,1667,2.5,8740,Barbeques Treloar,Simon,18,1639,4
65,17,2,397,Man of Steele,Luke,18,1667,2.5,2501,Swimming n Titch,Mark,18,1526,7
64,17,1,8740,Barbeques Treloar,Simon,18,1639,4,344,TryingAnewStratton,Paul,18,1667,2.5
67,17,4,7061,DEVQON.1,Lester,18,1625,5,11070,Fire The Worpedo,James,18,1791,1
66,17,3,25252,Casting Crouch,Jordan,17,1564,6,831,Salt&VinegarCripps,Anthony,17,1262,8
65,17,2,2501,Swimming n Titch,Mark,18,1526,7,397,Man of Steele,Luke,18,1667,2.5
66,17,3,831,Salt&VinegarCripps,Anthony,17,1262,8,25252,Casting Crouch,Jordan,17,1564,6
70,18,3,11070,Fire The Worpedo,James,18,1727,1,2501,Swimming n Titch,Mark,18,1654,2
70,18,3,2501,Swimming n Titch,Mark,18,1654,2,11070,Fire The Worpedo,James,18,1727,1
68,18,1,344,TryingAnewStratton,Paul,17,1624,3,397,Man of Steele,Luke,18,1600,5
71,18,4,7061,DEVQON.1,Lester,18,1623,4,831,Salt&VinegarCripps,Anthony,18,1558,7
68,18,1,397,Man of Steele,Luke,18,1600,5,344,TryingAnewStratton,Paul,17,1624,3
69,18,2,25252,Casting Crouch,Jordan,18,1594,6,8740,Barbeques Treloar,Simon,18,1357,8
71,18,4,831,Salt&VinegarCripps,Anthony,18,1558,7,7061,DEVQON.1,Lester,18,1623,4
69,18,2,8740,Barbeques Treloar,Simon,18,1357,8,25252,Casting Crouch,Jordan,18,1594,6
73,19,2,397,Man of Steele,Luke,18,1911,1,11070,Fire The Worpedo,James,18,1692,3
75,19,4,2501,Swimming n Titch,Mark,18,1829,2,831,Salt&VinegarCripps,Anthony,18,1686,4
73,19,2,11070,Fire The Worpedo,James,18,1692,3,397,Man of Steele,Luke,18,1911,1
75,19,4,831,Salt&VinegarCripps,Anthony,18,1686,4,2501,Swimming n Titch,Mark,18,1829,2
74,19,3,7061,DEVQON.1,Lester,18,1580,5,8740,Barbeques Treloar,Simon,18,1539,7
72,19,1,25252,Casting Crouch,Jordan,18,1569,6,344,TryingAnewStratton,Paul,17,1434,8
74,19,3,8740,Barbeques Treloar,Simon,18,1539,7,7061,DEVQON.1,Lester,18,1580,5
72,19,1,344,TryingAnewStratton,Paul,17,1434,8,25252,Casting Crouch,Jordan,18,1569,6
